Gene stable ID	Gene name	HGNC symbol
ENSG00000225066	MDM4P1	MDM4P1
ENSG00000219870	BRK1P1	BRK1P1
ENSG00000236072	SRSF2P1	SRSF2P1
ENSG00000185915	KLHL34	KLHL34
ENSG00000091482	SMPX	SMPX
ENSG00000149970	CNKSR2	CNKSR2
ENSG00000147041	SYTL5	SYTL5
ENSG00000234191	LINC01283	LINC01283
ENSG00000273704		
ENSG00000235071		
ENSG00000176812	METTL1P1	METTL1P1
ENSG00000224339	SC4MOP	SC4MOP
ENSG00000237782	PLLPP1	PLLPP1
ENSG00000233921	RPS15AP40	RPS15AP40
ENSG00000229384	HMGB1P16	HMGB1P16
ENSG00000271136		
ENSG00000235587	GAPDHP65	GAPDHP65
ENSG00000233571		
ENSG00000213997	PGAM1P7	PGAM1P7
ENSG00000173698	ADGRG2	ADGRG2
ENSG00000131831	RAI2	RAI2
ENSG00000286306		
ENSG00000214019	RBM39P1	RBM39P1
ENSG00000047230	CTPS2	CTPS2
ENSG00000237661	TNIP2P1	TNIP2P1
ENSG00000228232	GAPDHP1	GAPDHP1
ENSG00000169906	S100G	S100G
ENSG00000270499	MKI67P1	MKI67P1
ENSG00000229347		
ENSG00000187516	H2AP	H2AP
ENSG00000102218	RP2	RP2
ENSG00000012174	MBTPS2	MBTPS2
ENSG00000233810	MOB1AP2	MOB1AP2
ENSG00000230227	SIAH1P1	SIAH1P1
ENSG00000182798	MAGEB17	MAGEB17
ENSG00000229310	RPP40P1	RPP40P1
ENSG00000232834		
ENSG00000235685		
ENSG00000233663		
ENSG00000189132	FAM47B	FAM47B
ENSG00000102098	SCML2	SCML2
ENSG00000231235	CTNNBL1P1	CTNNBL1P1
ENSG00000226048	YBX1P8	YBX1P8
ENSG00000181977	PYY3	PYY3
ENSG00000271088		
ENSG00000231750	NANOGP10	NANOGP10
ENSG00000233880	NFYCP1	NFYCP1
ENSG00000183690	EFHC2	EFHC2
ENSG00000180182	MED14	MED14
ENSG00000147119	CHST7	CHST7
ENSG00000233543	CHTF8P1	CHTF8P1
ENSG00000230039	CCNYL5	CCNYL5
ENSG00000171365	CLCN5	CLCN5
ENSG00000275681		
ENSG00000276474		
ENSG00000215284	CHMP5P1	CHMP5P1
ENSG00000177689	MAGEB10	MAGEB10
ENSG00000228345		
ENSG00000276689		
ENSG00000271519		
ENSG00000231772		
ENSG00000102313	ITIH6	ITIH6
ENSG00000165186	PTCHD1	PTCHD1
ENSG00000169895	SYAP1	SYAP1
ENSG00000102043	MTMR8	MTMR8
ENSG00000237311		
ENSG00000234570	ZFRP1	ZFRP1
ENSG00000277516		
ENSG00000008086	CDKL5	CDKL5
ENSG00000165164	CFAP47	CFAP47
ENSG00000236852	SSBL2P	SSBL2P
ENSG00000229731		
ENSG00000268994	FAM236B	FAM236B
ENSG00000124479	NDP	NDP
ENSG00000230797	YY2	YY2
ENSG00000233833	ETF1P3	ETF1P3
ENSG00000227261	YWHAZP7	YWHAZP7
ENSG00000165169	DYNLT3	DYNLT3
ENSG00000277499		
ENSG00000147081	AKAP4	AKAP4
ENSG00000069535	MAOB	MAOB
ENSG00000225664	YWHAZP8	YWHAZP8
ENSG00000213754	KPNA4P1	KPNA4P1
ENSG00000155659	VSIG4	VSIG4
ENSG00000229168	RPL19P20	RPL19P20
ENSG00000102221	JADE3	JADE3
ENSG00000189299	FOXR2	FOXR2
ENSG00000065923	SLC9A7	SLC9A7
ENSG00000232794	HNRNPDP1	HNRNPDP1
ENSG00000217835	RBMXP5	RBMXP5
ENSG00000231944	PHKA1-AS1	PHKA1-AS1
ENSG00000187601	MAGEH1	MAGEH1
ENSG00000270280	SMIM15P1	SMIM15P1
ENSG00000274588	DGKK	DGKK
ENSG00000236276	NDP-AS1	NDP-AS1
ENSG00000283737		
ENSG00000233661	SPIN4-AS1	SPIN4-AS1
ENSG00000087842	PIR	PIR
ENSG00000234135	RPL23AP83	RPL23AP83
ENSG00000235136	PSMA5P1	PSMA5P1
ENSG00000131080	EDA2R	EDA2R
ENSG00000173198	CYSLTR1	CYSLTR1
ENSG00000182220	ATP6AP2	ATP6AP2
ENSG00000147100	SLC16A2	SLC16A2
ENSG00000232186	TERF1P7	TERF1P7
ENSG00000213684	LDHBP2	LDHBP2
ENSG00000235170	MTND1P31	MTND1P31
ENSG00000230311	TOMM20P4	TOMM20P4
ENSG00000226502	KRT8P27	KRT8P27
ENSG00000283546		
ENSG00000102316	MAGED2	MAGED2
ENSG00000250349		
ENSG00000102349	KLF8	KLF8
ENSG00000223707	SFR1P2	SFR1P2
ENSG00000230247	HNRNPH3P1	HNRNPH3P1
ENSG00000230665	THAP12P1	THAP12P1
ENSG00000276897		
ENSG00000225715	PSMA1P1	PSMA1P1
ENSG00000237089	PCNPP4	PCNPP4
ENSG00000271693		
ENSG00000155622	XAGE2	XAGE2
ENSG00000223574	TPMTP4	TPMTP4
ENSG00000233063	SAR1AP4	SAR1AP4
ENSG00000196468	FGF16	FGF16
ENSG00000232168	P2RY10BP	P2RY10BP
ENSG00000147183	CPXCR1	CPXCR1
ENSG00000224755	HMGN1P34	HMGN1P34
ENSG00000147099	HDAC8	HDAC8
ENSG00000094841	UPRT	UPRT
ENSG00000227521	TUBB4BP8	TUBB4BP8
ENSG00000226484		
ENSG00000232576		
ENSG00000237211	SETP4	SETP4
ENSG00000274022		
ENSG00000228182	MTND2P25	MTND2P25
ENSG00000165259	HDX	HDX
ENSG00000236988	CTDSPL2P1	CTDSPL2P1
ENSG00000223467	CALM1P1	CALM1P1
ENSG00000270268	CORO1CP1	CORO1CP1
ENSG00000236365	EIF3MP1	EIF3MP1
ENSG00000235061	UBE2V1P7	UBE2V1P7
ENSG00000231706	CYCSP43	CYCSP43
ENSG00000229667	UBE2V1P9	UBE2V1P9
ENSG00000174740	PABPC5	PABPC5
ENSG00000186288	PABPC1L2A	PABPC1L2A
ENSG00000224065	SRIP2	SRIP2
ENSG00000174225	ARL13A	ARL13A
ENSG00000213704	EEF1A1P15	EEF1A1P15
ENSG00000165288	BRWD3	BRWD3
ENSG00000271290	COPS8P1	COPS8P1
ENSG00000237506	RPSAP15	RPSAP15
ENSG00000287223		
ENSG00000229132	EIF4A1P10	EIF4A1P10
ENSG00000230889	SHC1P1	SHC1P1
ENSG00000158813	EDA	EDA
ENSG00000188419	CHM	CHM
ENSG00000227581	STAU2P1	STAU2P1
ENSG00000231206	HNRNPA1P25	HNRNPA1P25
ENSG00000288059		
ENSG00000271433	PPATP2	PPATP2
ENSG00000236185	HNRNPDLP3	HNRNPDLP3
ENSG00000231478	FCF1P9	FCF1P9
ENSG00000232069	RPS29P28	RPS29P28
ENSG00000270308	TEX101P1	TEX101P1
ENSG00000225536	STIP1P3	STIP1P3
ENSG00000232842	KAT7P1	KAT7P1
ENSG00000229946	B3GNT2P1	B3GNT2P1
ENSG00000231875		
ENSG00000124429	POF1B	POF1B
ENSG00000102271	KLHL4	KLHL4
ENSG00000213698	CAPZA1P3	CAPZA1P3
ENSG00000073905	VDAC1P1	VDAC1P1
ENSG00000236243	RPL6P29	RPL6P29
ENSG00000228051	WBP11P3	WBP11P3
ENSG00000220925	IGBP1-AS2	IGBP1-AS2
ENSG00000270826	USP37P1	USP37P1
ENSG00000271322		
ENSG00000276892		
ENSG00000213695	RPS7P14	RPS7P14
ENSG00000226753	FOXN3P2	FOXN3P2
ENSG00000271205		
ENSG00000198934	MAGEE1	MAGEE1
ENSG00000232735	ATG4AP1	ATG4AP1
ENSG00000271094		
ENSG00000229661	BUD31P2	BUD31P2
ENSG00000232293	PAICSP7	PAICSP7
ENSG00000230592	RPSAP8	RPSAP8
ENSG00000270745		
ENSG00000206062		
ENSG00000271157		
ENSG00000271056	MRPS22P1	MRPS22P1
ENSG00000230478		
ENSG00000227434	RNF19BPX	RNF19BPX
ENSG00000179300	RTL3	RTL3
ENSG00000236870	POMPP1	POMPP1
ENSG00000224775	BRAFP1	BRAFP1
ENSG00000230275	SERBP1P4	SERBP1P4
ENSG00000226081	USP12PX	USP12PX
ENSG00000233446	PDK1P2	PDK1P2
ENSG00000225012		
ENSG00000122145	TBX22	TBX22
ENSG00000153779	TGIF2LX	TGIF2LX
ENSG00000234322	ST13P18	ST13P18
ENSG00000232267	ACTR3P2	ACTR3P2
ENSG00000215089	KRT18P11	KRT18P11
ENSG00000204272	NBDY	NBDY
ENSG00000237873	DLGAP5P2	DLGAP5P2
ENSG00000225025	KIF4CP	KIF4CP
ENSG00000270759	OOEPP1	OOEPP1
ENSG00000226837	HMGB1P32	HMGB1P32
ENSG00000131171	SH3BGRL	SH3BGRL
ENSG00000215085	GTF3C6P1	GTF3C6P1
ENSG00000236190		
ENSG00000235447	TRAPPC13P1	TRAPPC13P1
ENSG00000279437		
ENSG00000182574	CSGALNACT2P1	CSGALNACT2P1
ENSG00000228612	HK2P1	HK2P1
ENSG00000228847	ATP5MC2P4	ATP5MC2P4
ENSG00000188917	TRMT2B	TRMT2B
ENSG00000271209	BRDTP1	BRDTP1
ENSG00000237014	LRRFIP2P1	LRRFIP2P1
ENSG00000234039	NDUFA5P7	NDUFA5P7
ENSG00000203262		
ENSG00000226010		
ENSG00000170925	TEX13B	TEX13B
ENSG00000282914		
ENSG00000226307	HNRNPDLP1	HNRNPDLP1
ENSG00000226119	C3orf49P1	C3orf49P1
ENSG00000234702	VDAC1P3	VDAC1P3
ENSG00000215070	XRCC6P5	XRCC6P5
ENSG00000186675	MAGEE2	MAGEE2
ENSG00000215102	TERF1P4	TERF1P4
ENSG00000213740	SERBP1P1	SERBP1P1
ENSG00000231001	CCNB1IP1P3	CCNB1IP1P3
ENSG00000237381	NT5DC1P1	NT5DC1P1
ENSG00000268104	SLC6A14	SLC6A14
ENSG00000286077		
ENSG00000047597	XK	XK
ENSG00000227657	SERPINA7P1	SERPINA7P1
ENSG00000229090		
ENSG00000270446	RPL34P36	RPL34P36
ENSG00000228519	RANBP1P1	RANBP1P1
ENSG00000215174	NLRP2B	NLRP2B
ENSG00000234130	AP2B1P1	AP2B1P1
ENSG00000047648	ARHGAP6	ARHGAP6
ENSG00000228004	MYCLP2	MYCLP2
ENSG00000198414	TATDN2P1	TATDN2P1
ENSG00000226854		
ENSG00000270456		
ENSG00000224054		
ENSG00000270583		
ENSG00000101844	ATG4A	ATG4A
ENSG00000147160	AWAT2	AWAT2
ENSG00000101843	PSMD10	PSMD10
ENSG00000285445	TUSC2P2	TUSC2P2
ENSG00000271457		
ENSG00000130224	LRCH2	LRCH2
ENSG00000274374	TUBAP6	TUBAP6
ENSG00000069509	FUNDC1	FUNDC1
ENSG00000147082	CCNB3	CCNB3
ENSG00000235239	ACTRT1P1	ACTRT1P1
ENSG00000270678		
ENSG00000196767	POU3F4	POU3F4
ENSG00000228780		
ENSG00000228041	EIF3JP1	EIF3JP1
ENSG00000284618		
ENSG00000230543	SNX3P1X	SNX3P1X
ENSG00000283594	FAM236C	FAM236C
ENSG00000078589	P2RY10	P2RY10
ENSG00000213498	TPT1P13	TPT1P13
ENSG00000235124	KRT8P17	KRT8P17
ENSG00000230973		
ENSG00000147121	KRBOX4	KRBOX4
ENSG00000090776	EFNB1	EFNB1
ENSG00000227427	MDH1P1	MDH1P1
ENSG00000226579	MTCYBP31	MTCYBP31
ENSG00000270493		
ENSG00000102055	PPP1R2C	PPP1R2C
ENSG00000183035	CYLC1	CYLC1
ENSG00000224072	VEZTP1	VEZTP1
ENSG00000147223	RIPPLY1	RIPPLY1
ENSG00000225957		
ENSG00000235382	MTND4P31	MTND4P31
ENSG00000215197	PGAM4P1	PGAM4P1
ENSG00000215035	FDPSP5	FDPSP5
ENSG00000270791	DPRXP6	DPRXP6
ENSG00000234901	MTND6P13	MTND6P13
ENSG00000271154		
ENSG00000185753	CXorf38	CXorf38
ENSG00000235656	RPL36P18	RPL36P18
ENSG00000215093	EEF1A1P29	EEF1A1P29
ENSG00000235196		
ENSG00000225728	TMEM230P1	TMEM230P1
ENSG00000230706	TMEM184CP1	TMEM184CP1
ENSG00000235735	RPL7AP72	RPL7AP72
ENSG00000260585		
ENSG00000228450	NLRP7P1	NLRP7P1
ENSG00000237206	IMPDH1P4	IMPDH1P4
ENSG00000226372	DCAF8L1	DCAF8L1
ENSG00000213653	RPL22P22	RPL22P22
ENSG00000277673		
ENSG00000236735	RPL31P63	RPL31P63
ENSG00000186767	SPIN4	SPIN4
ENSG00000214018	RRM2P3	RRM2P3
ENSG00000214009	PCNAP3	PCNAP3
ENSG00000228301	RPL7P55	RPL7P55
ENSG00000230916	MTCO1P53	MTCO1P53
ENSG00000224217	PRPF4BP1	PRPF4BP1
ENSG00000198354	DCAF12L2	DCAF12L2
ENSG00000236042		
ENSG00000234463	COX6CP12	COX6CP12
ENSG00000270736		
ENSG00000189401	OTUD6A	OTUD6A
ENSG00000237891	UBE2V1P16	UBE2V1P16
ENSG00000125676	THOC2	THOC2
ENSG00000230538	PNPLA10P	PNPLA10P
ENSG00000234404	SPRYD7P1	SPRYD7P1
ENSG00000223772	GEMIN8P3	GEMIN8P3
ENSG00000225949		
ENSG00000078596	ITM2A	ITM2A
ENSG00000230956	CAPZA1P1	CAPZA1P1
ENSG00000235425	RPS7P13	RPS7P13
ENSG00000233433	CBLL1P1	CBLL1P1
ENSG00000102021	LUZP4	LUZP4
ENSG00000227234	SPANXB1	SPANXB1
ENSG00000234176	HSPA8P1	HSPA8P1
ENSG00000271021		
ENSG00000225912	RPL26P36	RPL26P36
ENSG00000270619		
ENSG00000274901		
ENSG00000280142		
ENSG00000046774	MAGEC2	MAGEC2
ENSG00000233243	VKORC1P1	VKORC1P1
ENSG00000228532	SUMO2P21	SUMO2P21
ENSG00000229829	DUTP4	DUTP4
ENSG00000179542	SLITRK4	SLITRK4
ENSG00000186462	NAP1L2	NAP1L2
ENSG00000271502		
ENSG00000232149	FERP1	FERP1
ENSG00000214748		
ENSG00000270431	PHF5AP4	PHF5AP4
ENSG00000280275		
ENSG00000102241	HTATSF1	HTATSF1
ENSG00000237650	OR11Q1P	OR11Q1P
ENSG00000235334	BTG3P1	BTG3P1
ENSG00000233548	CYCSP44	CYCSP44
ENSG00000235976	H2BP8	H2BP8
ENSG00000228160		
ENSG00000183434	TFDP3	TFDP3
ENSG00000173954	SNURFL	SNURFL
ENSG00000276205		
ENSG00000231501	MTND4LP1	MTND4LP1
ENSG00000242610	OR5BH1P	OR5BH1P
ENSG00000236080	YAP1P2	YAP1P2
ENSG00000236205		
ENSG00000089289	IGBP1	IGBP1
ENSG00000189252	SPANXN3	SPANXN3
ENSG00000278646		
ENSG00000226685	CT47A12	CT47A12
ENSG00000218728	KRT18P44	KRT18P44
ENSG00000271175		
ENSG00000280752	LINC00850	LINC00850
ENSG00000271041		
ENSG00000233467	HAX1P1	HAX1P1
ENSG00000233229	CNOT7P1	CNOT7P1
ENSG00000232787	OR7L1P	OR7L1P
ENSG00000228466	TUBB4AP1	TUBB4AP1
ENSG00000224589	ORC1P1	ORC1P1
ENSG00000275508		
ENSG00000229693	SKP2P1	SKP2P1
ENSG00000227303		
ENSG00000131725	WDR44	WDR44
ENSG00000274631		
ENSG00000157502	PWWP3B	PWWP3B
ENSG00000230079	STK24P1	STK24P1
ENSG00000280223		
ENSG00000235729		
ENSG00000236747	LINC01282	LINC01282
ENSG00000231694		
ENSG00000232549	SRD5A1P1	SRD5A1P1
ENSG00000230788	CTDSPL2P2	CTDSPL2P2
ENSG00000271826	PLS3-AS1	PLS3-AS1
ENSG00000225469		
ENSG00000237584	RAC1P4	RAC1P4
ENSG00000102239	BRS3	BRS3
ENSG00000198881	ASB12	ASB12
ENSG00000226929	CT47A11	CT47A11
ENSG00000270709	UFM1P1	UFM1P1
ENSG00000235274		
ENSG00000287796		
ENSG00000288258		
ENSG00000234712		
ENSG00000229322		
ENSG00000237828	PA2G4P1	PA2G4P1
ENSG00000184675	AMER1	AMER1
ENSG00000156925	ZIC3	ZIC3
ENSG00000223995	RPL32P35	RPL32P35
ENSG00000270397		
ENSG00000232496	RPL3P12	RPL3P12
ENSG00000198573	SPANXC	SPANXC
ENSG00000270771		
ENSG00000176970	RPL7L1P11	RPL7L1P11
ENSG00000203923	SPANXN1	SPANXN1
ENSG00000268883	PNMA6B	PNMA6B
ENSG00000165509	MAGEC3	MAGEC3
ENSG00000250625		
ENSG00000235254	TMEM185AP1	TMEM185AP1
ENSG00000231093	TRMT1P1	TRMT1P1
ENSG00000232177	MTND4P24	MTND4P24
ENSG00000183171		
ENSG00000185903	OR11N1P	OR11N1P
ENSG00000235329		
ENSG00000171116	HSFX1	HSFX1
ENSG00000182712	CMC4	CMC4
ENSG00000223516	AFF2-IT1	AFF2-IT1
ENSG00000270646		
ENSG00000228042	M6PRP1	M6PRP1
ENSG00000226064	PGBD4P6	PGBD4P6
ENSG00000229562	ZFYVE9P1	ZFYVE9P1
ENSG00000156009	MAGEA8	MAGEA8
ENSG00000271660		
ENSG00000010404	IDS	IDS
ENSG00000279585		
ENSG00000224548		
ENSG00000270251		
ENSG00000237208		
ENSG00000228517	CT47A7	CT47A7
ENSG00000274579		
ENSG00000213924	HNRNPH1P2	HNRNPH1P2
ENSG00000182195	LDOC1	LDOC1
ENSG00000224630		
ENSG00000214827	MTCP1	MTCP1
ENSG00000235539	MTND1P33	MTND1P33
ENSG00000241489		
ENSG00000213423	RBMX2P2	RBMX2P2
ENSG00000224931		
ENSG00000237741		
ENSG00000185247	MAGEA11	MAGEA11
ENSG00000102195	GPR50	GPR50
ENSG00000269911	FAM226B	FAM226B
ENSG00000228833		
ENSG00000166049	PASD1	PASD1
ENSG00000147255	IGSF1	IGSF1
ENSG00000223377		
ENSG00000226414	MTCYBP38	MTCYBP38
ENSG00000229269		
ENSG00000224732	MAGEA7P	MAGEA7P
ENSG00000238039		
ENSG00000225110	PNMA6F	PNMA6F
ENSG00000197021	EOLA2	EOLA2
ENSG00000165775	FUNDC2	FUNDC2
ENSG00000227779	NDUFB3P5	NDUFB3P5
ENSG00000241769	EOLA1-DT	EOLA1-DT
ENSG00000214925	RPL36AP52	RPL36AP52
ENSG00000197620	EOLA1	EOLA1
ENSG00000196406	SPANXD	SPANXD
ENSG00000230130	MTND2P39	MTND2P39
ENSG00000235598	RRM2P4	RRM2P4
ENSG00000133135	RNF128	RNF128
ENSG00000234748		
ENSG00000226388	ELL2P4	ELL2P4
ENSG00000102243	VGLL1	VGLL1
ENSG00000231686	ANKRD11P2	ANKRD11P2
ENSG00000176289	IDSP1	IDSP1
ENSG00000155495	MAGEC1	MAGEC1
ENSG00000182508	LHFPL1	LHFPL1
ENSG00000185010	F8	F8
ENSG00000228717	NAB1P1	NAB1P1
ENSG00000215054	HNRNPCP10	HNRNPCP10
ENSG00000227183	HDGFP1	HDGFP1
ENSG00000183631	PRR32	PRR32
ENSG00000224314	TCERG1P1	TCERG1P1
ENSG00000271211		
ENSG00000235699	CXorf51B	CXorf51B
ENSG00000155966	AFF2	AFF2
ENSG00000198157	HMGN5	HMGN5
ENSG00000213652	HMGB3P30	HMGB3P30
ENSG00000129680	MAP7D3	MAP7D3
ENSG00000204086	RPA4	RPA4
ENSG00000198889	DCAF12L1	DCAF12L1
ENSG00000213526	SETP8	SETP8
ENSG00000230823	CBX1P1	CBX1P1
ENSG00000234288	OR1AA1P	OR1AA1P
ENSG00000182890	GLUD2	GLUD2
ENSG00000287098		
ENSG00000234592	TJAP1P1	TJAP1P1
ENSG00000234785	EEF1GP5	EEF1GP5
ENSG00000133138	TBC1D8B	TBC1D8B
ENSG00000226802	RUVBL2P1	RUVBL2P1
ENSG00000238066		
ENSG00000214628	NDUFB5P2	NDUFB5P2
ENSG00000133131	MORC4	MORC4
ENSG00000256709	CSGALNACT2P2	CSGALNACT2P2
ENSG00000155959	VBP1	VBP1
ENSG00000123496	IL13RA2	IL13RA2
ENSG00000287379		
ENSG00000285547		
ENSG00000067177	PHKA1	PHKA1
ENSG00000102383	ZDHHC15	ZDHHC15
ENSG00000271346		
ENSG00000235991		
ENSG00000232249		
ENSG00000238223		
ENSG00000224978	CD84P1	CD84P1
ENSG00000225858	MATR3P1	MATR3P1
ENSG00000156920	ADGRG4	ADGRG4
ENSG00000235892	PKMP2	PKMP2
ENSG00000229979	HMGN2P48	HMGN2P48
ENSG00000233254	RPL21P134	RPL21P134
ENSG00000155961	RAB39B	RAB39B
ENSG00000227505	SLIRPP1	SLIRPP1
ENSG00000186310	NAP1L3	NAP1L3
ENSG00000237860	SLC6A14P2	SLC6A14P2
ENSG00000189372		
ENSG00000236077	SLC6A14P1	SLC6A14P1
ENSG00000229145	ACTBP1	ACTBP1
ENSG00000228855		
ENSG00000229082	OR5AW1P	OR5AW1P
ENSG00000147231	RADX	RADX
ENSG00000204019	CT83	CT83
ENSG00000236413		
ENSG00000229733		
ENSG00000237225	OR13K1P	OR13K1P
ENSG00000203926	SPANXA2	SPANXA2
ENSG00000207435	RNU6-114P	RNU6-114P
ENSG00000207628	MIR651	MIR651
ENSG00000252291		
ENSG00000212214	SNORA48B	SNORA48B
ENSG00000207151	Y_RNA	
ENSG00000207320	Y_RNA	
ENSG00000201660		
ENSG00000265284	MIR4770	MIR4770
ENSG00000263652	MIR548AX	MIR548AX
ENSG00000207332	RNU6-146P	RNU6-146P
ENSG00000239333	RN7SL658P	RN7SL658P
ENSG00000278218		
ENSG00000207025	Y_RNA	
ENSG00000265144	MIR548AM	MIR548AM
ENSG00000200852	RNA5SP499	RNA5SP499
ENSG00000252978	RN7SKP183	RN7SKP183
ENSG00000206716	RNU6-133P	RNU6-133P
ENSG00000206639	Y_RNA	
ENSG00000206733	RNU6-641P	RNU6-641P
ENSG00000207122	RNU6-591P	RNU6-591P
ENSG00000206983	RNU6-49P	RNU6-49P
ENSG00000221466	MIR548AJ2	MIR548AJ2
ENSG00000252411	RNU6-1087P	RNU6-1087P
ENSG00000264618	RN7SL732P	RN7SL732P
ENSG00000263730	MIR3937	MIR3937
ENSG00000238730	RNU7-164P	RNU7-164P
ENSG00000206896	RNU6-1124P	RNU6-1124P
ENSG00000212560	RNU6-630P	RNU6-630P
ENSG00000199226	RNU6-50P	RNU6-50P
ENSG00000277721	Metazoa_SRP	
ENSG00000278838	Metazoa_SRP	
ENSG00000200702	Y_RNA	
ENSG00000202495	Y_RNA	
ENSG00000221716	SNORA11	SNORA11
ENSG00000207758	MIR532	MIR532
ENSG00000207768	MIR188	MIR188
ENSG00000207785	MIR500A	MIR500A
ENSG00000208015	MIR362	MIR362
ENSG00000211538	MIR501	MIR501
ENSG00000239057	MIR500B	MIR500B
ENSG00000207970	MIR660	MIR660
ENSG00000272080	MIR502	MIR502
ENSG00000244006	RN7SL799P	RN7SL799P
ENSG00000284567	MIR223	MIR223
ENSG00000212434	U3	
ENSG00000275335	MIR8088	MIR8088
ENSG00000266328	MIR4536-2	MIR4536-2
ENSG00000211991	MIR676	MIR676
ENSG00000199601	RNU6-562P	RNU6-562P
ENSG00000283334	MIR4536-1	MIR4536-1
ENSG00000201447	RNA5SP509	RNA5SP509
ENSG00000285776	5S_rRNA	
ENSG00000273788	U3	
ENSG00000283622	MIR4328	MIR4328
ENSG00000202183		
ENSG00000239745	RN7SL790P	RN7SL790P
ENSG00000283435	MIR1321	MIR1321
ENSG00000200635	Y_RNA	
ENSG00000222440	RNU2-26P	RNU2-26P
ENSG00000212495	RNU6-332P	RNU6-332P
ENSG00000200422		
ENSG00000277717	U6	
ENSG00000201567	RNA5SP510	RNA5SP510
ENSG00000221187	MIR548M	MIR548M
ENSG00000252016		
ENSG00000283242	MIR384	MIR384
ENSG00000207995	MIR325	MIR325
ENSG00000201271	RNU1-112P	RNU1-112P
ENSG00000223259	RNA5SP508	RNA5SP508
ENSG00000199051	MIR361	MIR361
ENSG00000202410	Y_RNA	
ENSG00000199567	Y_RNA	
ENSG00000206826	RNU6-974P	RNU6-974P
ENSG00000212546	RNU6-995P	RNU6-995P
ENSG00000252810	RNU6-345P	RNU6-345P
ENSG00000212623	RNU6-493P	RNU6-493P
ENSG00000222667	RNU6-394P	RNU6-394P
ENSG00000252296		
ENSG00000223260	RN7SKP194	RN7SKP194
ENSG00000202407	Y_RNA	
ENSG00000239008		
ENSG00000201443	RNU6-309P	RNU6-309P
ENSG00000207426	Y_RNA	
ENSG00000277900	Metazoa_SRP	
ENSG00000275110		
ENSG00000222122	RNU6-648P	RNU6-648P
ENSG00000265260	RN7SL74P	RN7SL74P
ENSG00000271907	SNORA35B	SNORA35B
ENSG00000212241	Y_RNA	
ENSG00000252441		
ENSG00000207515	RNU6-555P	RNU6-555P
ENSG00000207363	Y_RNA	
ENSG00000242998	RN7SL379P	RN7SL379P
ENSG00000206752	RNU6-1323P	RNU6-1323P
ENSG00000263515	MIR548AN	MIR548AN
ENSG00000207033	RNU6-154P	RNU6-154P
ENSG00000265456	MIR3672	MIR3672
ENSG00000212321	U3	
ENSG00000252930	RNU6-1015P	RNU6-1015P
ENSG00000207100		
ENSG00000252163	RN7SKP31	RN7SKP31
ENSG00000216060	MIR934	MIR934
ENSG00000207041	RNU6-3P	RNU6-3P
ENSG00000199878	RN7SKP149	RN7SKP149
ENSG00000201594	RNA5SP517	RNA5SP517
ENSG00000201000	RNA5SP516	RNA5SP516
ENSG00000207866	MIR514A2	MIR514A2
ENSG00000207868	MIR514A1	MIR514A1
ENSG00000202473	RN7SKP81	RN7SKP81
ENSG00000221081	MIR320D2	MIR320D2
ENSG00000239579	RN7SL325P	RN7SL325P
ENSG00000252219	MIR892C	MIR892C
ENSG00000207867	MIR514A3	MIR514A3
ENSG00000216075	MIR890	MIR890
ENSG00000222114	RNU6-985P	RNU6-985P
ENSG00000216005	MIR888	MIR888
